Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-21 12:28:39,2023-09-21 12:28:39,12,middle,ac,lab,2,overcast
2023-09-21 12:28:40,2023-09-21 12:28:40,12,middle,ac,lab,2,overcast
2023-09-21 12:28:59,2023-09-21 12:28:59,11,middle,ac,lab,2,overcast
2023-09-21 12:30:15,2023-09-21 12:30:15,12,middle,ac,lab,2,overcast
2023-09-21 12:36:02,2023-09-21 12:36:02,13,middle,ac,lab,2,overcast
2023-09-21 12:37:41,2023-09-21 12:37:41,12,middle,ac,lab,2,overcast
2023-09-21 12:37:41,2023-09-21 12:37:41,12,middle,ac,lab,2,overcast
2023-09-21 12:43:20,2023-09-21 12:43:20,13,middle,ac,lab,2,overcast
2023-09-21 12:44:15,2023-09-21 12:44:15,12,middle,ac,lab,2,overcast
2023-09-21 12:44:38,2023-09-21 12:44:38,10,middle,ac,lab,2,overcast
2023-09-21 12:44:57,2023-09-21 12:44:57,11,middle,ac,lab,2,overcast
2023-09-21 12:50:11,2023-09-21 12:50:11,13,middle,ac,lab,2,overcast
2023-09-21 12:59:26,2023-09-21 12:59:26,14,middle,ac,lab,2,overcast
2023-09-21 12:59:26,2023-09-21 12:59:26,14,middle,ac,lab,2,overcast
2023-09-21 13:00:00,2023-09-21 13:07:53,13,backside,ac,lab,2,overcast
2023-09-21 13:09:31,2023-09-21 13:09:31,14,backside,ac,lab,2,overcast
2023-09-21 13:09:42,2023-09-21 13:09:42,13,backside,ac,lab,2,overcast
2023-09-21 13:09:43,2023-09-21 13:09:43,13,backside,ac,lab,2,overcast
2023-09-21 13:15:48,2023-09-21 13:15:48,12,backside,ac,lab,2,overcast
2023-09-21 13:17:01,2023-09-21 13:17:01,11,backside,ac,lab,2,overcast
2023-09-21 13:17:02,2023-09-21 13:17:02,11,backside,ac,lab,2,overcast
2023-09-21 13:19:02,2023-09-21 13:19:02,10,backside,ac,lab,2,overcast
2023-09-21 13:20:33,2023-09-21 13:20:33,7,backside,ac,lab,2,overcast
2023-09-21 13:21:05,2023-09-21 13:21:05,4,backside,ac,lab,2,overcast
2023-09-21 13:22:38,2023-09-21 13:22:38,3,backside,ac,lab,2,overcast
