Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-20 11:26:56,2023-09-20 11:26:56,23,middle,ac,classroom,3,cloudy
2023-09-20 11:27:48,2023-09-20 11:29:16,29,middle,ac,classroom,3,cloudy
2023-09-20 11:29:53,2023-09-20 11:29:53,31,middle,ac,classroom,3,cloudy
2023-09-20 11:32:25,2023-09-20 11:32:25,30,middle,ac,classroom,3,cloudy
2023-09-20 11:34:23,2023-09-20 11:34:23,33,middle,ac,classroom,3,cloudy
2023-09-20 11:34:50,2023-09-20 11:34:50,32,middle,ac,classroom,3,cloudy
2023-09-20 11:36:16,2023-09-20 11:36:16,28,middle,ac,classroom,3,cloudy
2023-09-20 11:37:03,2023-09-20 11:37:03,30,middle,ac,classroom,3,cloudy
2023-09-20 11:37:14,2023-09-20 11:37:14,28,middle,ac,classroom,3,cloudy
2023-09-20 11:37:50,2023-09-20 11:37:50,30,middle,ac,classroom,3,cloudy
2023-09-20 11:38:43,2023-09-20 11:38:43,31,middle,ac,classroom,3,cloudy
2023-09-20 11:38:55,2023-09-20 11:38:55,32,middle,ac,classroom,3,cloudy
2023-09-20 11:39:05,2023-09-20 11:39:05,33,middle,ac,classroom,3,cloudy
2023-09-20 11:39:22,2023-09-20 11:39:22,37,middle,ac,classroom,3,cloudy
2023-09-20 11:43:10,2023-09-20 11:43:10,38,middle,ac,classroom,3,cloudy
2023-09-20 11:44:27,2023-09-20 11:44:27,40,middle,ac,classroom,3,cloudy
2023-09-20 11:45:04,2023-09-20 11:45:04,43,middle,ac,classroom,3,cloudy
2023-09-20 11:49:01,2023-09-20 11:49:01,45,middle,ac,classroom,3,cloudy
2023-09-20 11:49:47,2023-09-20 11:49:47,46,middle,ac,classroom,3,cloudy
2023-09-20 11:52:49,2023-09-20 11:52:49,48,middle,ac,classroom,3,cloudy
2023-09-20 12:11:40,2023-09-20 12:11:40,47,middle,ac,classroom,3,cloudy
2023-09-20 12:37:01,2023-09-20 12:37:01,46,middle,ac,classroom,3,cloudy
2023-09-20 12:40:31,2023-09-20 12:40:31,47,middle,ac,classroom,3,cloudy
2023-09-20 12:44:12,2023-09-20 12:44:12,44,middle,ac,classroom,3,cloudy
2023-09-20 12:55:22,2023-09-20 12:55:22,43,middle,ac,classroom,3,cloudy
2023-09-20 12:55:34,2023-09-20 12:55:34,42,middle,ac,classroom,3,cloudy
2023-09-20 12:55:36,2023-09-20 12:55:36,41,middle,ac,classroom,3,cloudy
2023-09-20 12:55:38,2023-09-20 12:55:38,39,middle,ac,classroom,3,cloudy
2023-09-20 12:55:42,2023-09-20 12:55:42,38,middle,ac,classroom,3,cloudy
2023-09-20 12:55:52,2023-09-20 12:55:52,37,middle,ac,classroom,3,cloudy
2023-09-20 12:56:01,2023-09-20 12:56:01,35,middle,ac,classroom,3,cloudy
2023-09-20 12:56:07,2023-09-20 12:56:07,33,middle,ac,classroom,3,cloudy
2023-09-20 12:56:41,2023-09-20 12:56:41,32,middle,ac,classroom,3,cloudy
2023-09-20 12:56:48,2023-09-20 12:56:48,31,middle,ac,classroom,3,cloudy
2023-09-20 12:56:54,2023-09-20 12:57:00,30,middle,ac,classroom,3,cloudy
2023-09-20 12:57:06,2023-09-20 12:57:06,28,middle,ac,classroom,3,cloudy
2023-09-20 12:57:29,2023-09-20 12:57:29,22,middle,ac,classroom,3,cloudy
2023-09-20 12:57:45,2023-09-20 12:58:19,15,middle,ac,classroom,3,cloudy
2023-09-20 12:57:57,2023-09-20 12:58:13,12,middle,ac,classroom,3,cloudy
2023-09-20 12:58:34,2023-09-20 12:58:34,17,middle,ac,classroom,3,cloudy
2023-09-20 12:58:37,2023-09-20 12:58:37,16,middle,ac,classroom,3,cloudy
2023-09-20 12:58:45,2023-09-20 13:08:14,13,middle,ac,classroom,3,cloudy
2023-09-20 13:00:01,2023-09-20 13:08:18,12,middle,ac,classroom,3,cloudy
2023-09-20 13:03:24,2023-09-20 13:08:22,13,middle,ac,classroom,3,cloudy
2023-09-20 13:25:30,2023-09-20 13:25:30,5,middle,ac,classroom,3,cloudy
2023-09-20 13:26:16,2023-09-20 13:26:16,4,middle,ac,classroom,3,cloudy
2023-09-20 13:26:36,2023-09-20 13:26:36,3,middle,ac,classroom,3,cloudy
2023-09-20 13:27:10,2023-09-20 13:27:10,2,middle,ac,classroom,3,cloudy
2023-09-20 13:30:59,2023-09-20 13:30:59,1,middle,ac,classroom,3,cloudy
2023-09-20 13:32:22,2023-09-20 13:32:22,0,middle,ac,classroom,3,cloudy
2023-09-20 13:34:07,2023-09-20 13:34:07,1,middle,ac,classroom,3,cloudy
