,CO2 (ppm),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Position,Floor No.,Weather,Occupancy_Classified
84,1796.0,42.0,61.0,66.0,26.1,14.0,3,2.0,4,2
85,1794.0,43.0,62.0,67.0,26.0,14.0,3,2.0,4,2
86,1793.0,43.0,62.0,67.0,26.1,14.0,3,2.0,4,2
87,1791.0,42.0,61.0,66.0,26.0,14.0,3,2.0,4,2
88,1790.0,42.0,61.0,66.0,26.1,14.0,3,2.0,4,2
89,1791.0,41.0,61.0,65.0,26.0,14.0,3,2.0,4,2
90,1792.0,40.0,60.0,64.0,26.0,14.0,3,2.0,4,2
91,1793.0,40.0,60.0,64.0,26.0,14.0,3,2.0,4,2
92,1793.0,40.0,60.0,64.0,26.0,13.9,3,2.0,4,2
93,1793.0,41.0,61.0,65.0,26.0,13.9,3,2.0,4,2
94,1793.0,40.0,60.0,65.0,25.9,13.9,3,2.0,4,2
95,1792.0,40.0,60.0,65.0,25.9,13.9,3,2.0,4,2
96,1791.0,41.0,61.0,66.0,26.0,13.9,3,2.0,4,2
97,1792.0,41.0,61.0,66.0,26.0,13.9,3,2.0,4,2
98,1792.0,40.0,60.0,65.0,25.9,13.9,3,2.0,4,2
99,1793.0,41.0,60.0,65.0,25.9,13.9,3,2.0,4,2
100,1795.0,41.0,59.0,65.0,25.9,13.9,3,2.0,4,2
101,1795.0,41.0,59.0,65.0,25.9,13.9,3,2.0,4,2
102,1795.0,41.0,59.0,64.0,25.9,13.9,3,2.0,4,2
103,1796.0,41.0,58.0,64.0,25.9,13.9,3,2.0,4,2
104,1796.0,41.0,58.0,63.0,25.9,13.9,3,2.0,4,2
105,1796.0,41.0,58.0,63.0,25.9,13.9,3,2.0,4,2
106,1797.0,41.0,58.0,63.0,25.9,13.9,3,2.0,4,2
107,1798.0,41.0,58.0,62.0,25.9,13.9,3,2.0,4,2
108,1799.0,41.0,59.0,62.0,26.0,13.9,3,2.0,4,2
109,1799.0,41.0,59.0,62.0,26.0,13.9,3,2.0,4,2
110,1801.0,41.0,59.0,61.0,25.9,13.9,3,2.0,4,2
111,1802.0,41.0,59.0,61.0,26.0,13.9,3,2.0,4,2
112,1804.0,41.0,59.0,61.0,25.9,13.9,3,2.0,4,2
113,1805.0,41.0,59.0,60.0,25.9,13.9,3,2.0,4,2
114,1806.0,41.0,58.0,60.0,26.0,13.9,3,2.0,4,2
115,1809.0,40.0,58.0,60.0,26.0,13.9,3,2.0,4,2
116,1811.0,40.0,57.0,60.0,26.0,13.9,3,2.0,4,2
117,1813.0,40.0,57.0,60.0,26.0,13.9,3,2.0,4,2
118,1814.0,40.0,57.0,60.0,25.9,13.9,3,2.0,4,2
119,1815.0,40.0,57.0,60.0,26.0,13.9,3,2.0,4,2
120,1816.0,40.0,57.0,60.0,25.9,13.9,3,2.0,4,2
121,1817.0,40.0,58.0,60.0,25.9,13.9,3,2.0,4,2
122,1817.0,40.0,58.0,60.0,25.9,13.9,3,2.0,4,2
123,1817.0,40.0,58.0,60.0,25.9,13.9,3,2.0,4,2
124,1817.0,40.0,58.0,60.0,25.9,13.9,3,2.0,4,2
125,1817.0,40.0,58.0,60.0,25.9,13.9,3,2.0,4,2
126,1817.0,40.0,59.0,61.0,25.9,13.9,3,2.0,4,2
127,1817.0,41.0,59.0,61.0,25.9,13.9,3,2.0,4,2
128,1816.0,41.0,60.0,61.0,25.9,13.9,3,2.0,4,2
129,1815.0,41.0,60.0,61.0,25.9,13.9,3,2.0,4,2
130,1813.0,41.0,60.0,62.0,25.9,13.9,3,2.0,4,2
131,1813.0,42.0,60.0,62.0,25.9,13.9,3,2.0,4,2
132,1812.0,43.0,61.0,63.0,25.9,13.9,3,2.0,4,2
133,1812.0,42.0,60.0,62.0,25.9,13.9,3,2.0,4,2
134,1811.0,42.0,60.0,61.0,25.9,13.9,3,2.0,4,2
135,1811.0,43.0,61.0,61.0,25.8,13.9,3,2.0,4,2
136,1811.0,43.0,60.0,61.0,25.8,13.9,3,2.0,4,2
137,1810.0,41.0,59.0,60.0,25.8,13.9,3,2.0,4,2
138,1810.0,41.0,59.0,60.0,25.8,13.9,3,2.0,4,2
139,1809.0,41.0,59.0,60.0,25.8,13.9,3,2.0,4,2
140,1809.0,40.0,59.0,60.0,25.8,13.9,3,2.0,4,2
141,1809.0,40.0,59.0,60.0,25.8,13.9,3,2.0,4,2
142,1809.0,40.0,58.0,60.0,25.8,13.9,3,2.0,4,2
143,1810.0,40.0,58.0,60.0,25.8,13.9,3,2.0,4,2
144,1810.0,40.0,58.0,60.0,25.8,13.9,3,2.0,4,2
