,CO2 (ppm),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Position,Floor No.,Weather,Occupancy_Classified
70,1792.0,43.0,61.0,68.0,26.2,14.1,72.0,middle,2.0,sunny,2
71,1795.0,43.0,62.0,68.0,26.2,14.1,78.6,middle,2.0,sunny,2
72,1797.0,43.0,62.0,68.0,26.2,14.1,69.9,middle,2.0,sunny,2
73,1799.0,43.0,62.0,67.0,26.2,14.1,77.2,middle,2.0,sunny,2
74,1800.0,43.0,61.0,66.0,26.2,14.1,81.6,middle,2.0,sunny,2
75,1800.0,43.0,61.0,66.0,26.2,14.1,73.6,middle,2.0,sunny,2
76,1800.0,43.0,61.0,65.0,26.2,14.1,75.7,middle,2.0,sunny,2
77,1800.0,43.0,61.0,65.0,26.2,14.1,73.0,middle,2.0,sunny,2
78,1800.0,44.0,62.0,66.0,26.2,14.1,71.2,middle,2.0,sunny,2
79,1799.0,44.0,61.0,67.0,26.2,14.1,77.4,middle,2.0,sunny,2
80,1797.0,44.0,62.0,67.0,26.2,14.0,71.0,middle,2.0,sunny,2
81,1797.0,43.0,61.0,66.0,26.1,14.1,72.1,middle,2.0,sunny,2
82,1797.0,44.0,62.0,67.0,26.1,14.0,75.9,middle,2.0,sunny,2
83,1796.0,44.0,62.0,68.0,26.1,14.0,75.7,middle,2.0,sunny,2
84,1796.0,42.0,61.0,66.0,26.1,14.0,74.6,middle,2.0,sunny,2
85,1794.0,43.0,62.0,67.0,26.0,14.0,76.8,middle,2.0,sunny,2
86,1793.0,43.0,62.0,67.0,26.1,14.0,72.8,middle,2.0,sunny,2
87,1791.0,42.0,61.0,66.0,26.0,14.0,72.4,middle,2.0,sunny,2
88,1790.0,42.0,61.0,66.0,26.1,14.0,76.7,middle,2.0,sunny,2
89,1791.0,41.0,61.0,65.0,26.0,14.0,70.1,middle,2.0,sunny,2
90,1792.0,40.0,60.0,64.0,26.0,14.0,70.6,middle,2.0,sunny,2
91,1793.0,40.0,60.0,64.0,26.0,14.0,75.1,middle,2.0,sunny,2
92,1793.0,40.0,60.0,64.0,26.0,13.9,68.8,middle,2.0,sunny,2
93,1793.0,41.0,61.0,65.0,26.0,13.9,77.5,middle,2.0,sunny,2
94,1793.0,40.0,60.0,65.0,25.9,13.9,78.2,middle,2.0,sunny,2
95,1792.0,40.0,60.0,65.0,25.9,13.9,70.1,middle,2.0,sunny,2
96,1791.0,41.0,61.0,66.0,26.0,13.9,75.3,middle,2.0,sunny,2
97,1792.0,41.0,61.0,66.0,26.0,13.9,84.0,middle,2.0,sunny,2
98,1792.0,40.0,60.0,65.0,25.9,13.9,73.7,middle,2.0,sunny,2
99,1793.0,41.0,60.0,65.0,25.9,13.9,75.8,middle,2.0,sunny,2
100,1795.0,41.0,59.0,65.0,25.9,13.9,71.7,middle,2.0,sunny,2
101,1795.0,41.0,59.0,65.0,25.9,13.9,70.9,middle,2.0,sunny,2
