Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-26 11:41:35,2023-09-26 11:42:51,20,frontside,ac,classroom,3,sunny
2023-09-26 11:41:47,2023-09-26 11:42:43,22,frontside,ac,classroom,3,sunny
2023-09-26 11:44:41,2023-09-26 11:44:47,28,frontside,ac,classroom,3,sunny
2023-09-26 11:44:50,2023-09-26 11:44:50,27,frontside,ac,classroom,3,sunny
2023-09-26 11:45:08,2023-09-26 11:45:08,28,frontside,ac,classroom,3,sunny
2023-09-26 11:45:29,2023-09-26 11:45:29,35,frontside,ac,classroom,3,sunny
2023-09-26 11:45:41,2023-09-26 11:45:41,34,frontside,ac,classroom,3,sunny
2023-09-26 11:45:49,2023-09-26 11:45:49,30,frontside,ac,classroom,3,sunny
2023-09-26 11:46:19,2023-09-26 11:46:19,31,frontside,ac,classroom,3,sunny
2023-09-26 11:46:43,2023-09-26 11:46:43,32,frontside,ac,classroom,3,sunny
2023-09-26 11:47:15,2023-09-26 11:47:15,37,frontside,ac,classroom,3,sunny
2023-09-26 11:47:54,2023-09-26 11:47:54,40,frontside,ac,classroom,3,sunny
2023-09-26 11:47:58,2023-09-26 11:47:58,39,frontside,ac,classroom,3,sunny
2023-09-26 11:48:03,2023-09-26 11:48:03,40,frontside,ac,classroom,3,sunny
2023-09-26 11:48:07,2023-09-26 11:48:07,38,frontside,ac,classroom,3,sunny
2023-09-26 11:48:59,2023-09-26 11:48:59,39,frontside,ac,classroom,3,sunny
2023-09-26 11:49:43,2023-09-26 11:49:43,40,frontside,ac,classroom,3,sunny
2023-09-26 11:50:13,2023-09-26 11:52:13,40,frontside,ac,classroom,3,sunny
2023-09-26 11:52:36,2023-09-26 11:52:36,37,frontside,ac,classroom,3,sunny
2023-09-26 11:52:43,2023-09-26 11:52:43,38,frontside,ac,classroom,3,sunny
2023-09-26 11:52:55,2023-09-26 11:52:55,37,frontside,ac,classroom,3,sunny
2023-09-26 11:53:21,2023-09-26 11:53:21,36,frontside,ac,classroom,3,sunny
2023-09-26 11:54:01,2023-09-26 11:54:01,35,frontside,ac,classroom,3,sunny
2023-09-26 11:54:58,2023-09-26 11:54:58,33,frontside,ac,classroom,3,sunny
2023-09-26 11:56:55,2023-09-26 11:56:55,32,frontside,ac,classroom,3,sunny
2023-09-26 11:57:07,2023-09-26 11:57:07,33,frontside,ac,classroom,3,sunny
2023-09-26 11:58:23,2023-09-26 11:58:23,35,frontside,ac,classroom,3,sunny
2023-09-26 11:58:33,2023-09-26 11:58:33,38,frontside,ac,classroom,3,sunny
2023-09-26 11:59:48,2023-09-26 11:59:48,35,frontside,ac,classroom,3,sunny
2023-09-26 12:02:52,2023-09-26 12:02:52,38,frontside,ac,classroom,3,sunny
2023-09-26 12:03:18,2023-09-26 12:03:18,40,frontside,ac,classroom,3,sunny
2023-09-26 12:03:54,2023-09-26 12:03:54,39,frontside,ac,classroom,3,sunny
2023-09-26 12:05:21,2023-09-26 12:05:21,33,middle,ac,classroom,3,sunny
2023-09-26 12:05:36,2023-09-26 12:05:36,37,middle,ac,classroom,3,sunny
2023-09-26 12:05:48,2023-09-26 12:05:48,39,middle,ac,classroom,3,sunny
2023-09-26 12:06:35,2023-09-26 12:06:35,41,middle,ac,classroom,3,sunny
2023-09-26 12:06:59,2023-09-26 12:06:59,40,middle,ac,classroom,3,sunny
2023-09-26 12:07:11,2023-09-26 12:07:11,41,middle,ac,classroom,3,sunny
2023-09-26 12:07:24,2023-09-26 12:07:24,40,middle,ac,classroom,3,sunny
2023-09-26 12:07:30,2023-09-26 12:07:30,39,middle,ac,classroom,3,sunny
2023-09-26 12:08:04,2023-09-26 12:08:04,38,middle,ac,classroom,3,sunny
2023-09-26 12:08:46,2023-09-26 12:08:46,37,middle,ac,classroom,3,sunny
2023-09-26 12:08:56,2023-09-26 12:08:56,40,middle,ac,classroom,3,sunny
2023-09-26 12:09:20,2023-09-26 12:09:20,38,middle,ac,classroom,3,sunny
2023-09-26 12:12:57,2023-09-26 12:12:57,39,middle,ac,classroom,3,sunny
2023-09-26 12:18:15,2023-09-26 12:18:15,37,middle,ac,classroom,3,sunny
2023-09-26 12:20:22,2023-09-26 12:20:22,34,middle,ac,classroom,3,sunny
2023-09-26 12:20:29,2023-09-26 12:20:29,32,middle,ac,classroom,3,sunny
2023-09-26 12:20:41,2023-09-26 12:20:41,35,middle,ac,classroom,3,sunny
2023-09-26 12:20:49,2023-09-26 12:20:49,39,middle,ac,classroom,3,sunny
2023-09-26 12:26:10,2023-09-26 12:26:10,35,middle,ac,classroom,3,sunny
2023-09-26 12:29:00,2023-09-26 12:29:00,34,middle,ac,classroom,3,sunny
2023-09-26 12:29:45,2023-09-26 12:29:45,33,middle,ac,classroom,3,sunny
2023-09-26 12:29:53,2023-09-26 12:29:53,30,middle,ac,classroom,3,sunny
2023-09-26 12:30:03,2023-09-26 12:30:03,29,middle,ac,classroom,3,sunny
2023-09-26 12:31:20,2023-09-26 12:31:31,36,middle,ac,classroom,3,sunny
2023-09-26 12:32:15,2023-09-26 12:32:15,37,middle,ac,classroom,3,sunny
2023-09-26 12:32:23,2023-09-26 12:32:23,38,middle,ac,classroom,3,sunny
2023-09-26 12:32:49,2023-09-26 12:32:49,39,middle,ac,classroom,3,sunny
2023-09-26 12:33:33,2023-09-26 12:33:33,46,middle,ac,classroom,3,sunny
2023-09-26 12:35:40,2023-09-26 12:35:40,47,middle,ac,classroom,3,sunny
2023-09-26 12:35:57,2023-09-26 12:35:57,48,middle,ac,classroom,3,sunny
2023-09-26 12:49:49,2023-09-26 12:49:49,52,middle,ac,classroom,3,sunny
2023-09-26 13:01:13,2023-09-26 13:01:13,53,middle,ac,classroom,3,sunny
2023-09-26 13:17:12,2023-09-26 13:17:12,54,middle,ac,classroom,3,sunny
2023-09-26 13:17:20,2023-09-26 13:17:20,53,middle,ac,classroom,3,sunny
2023-09-26 13:19:31,2023-09-26 13:19:31,47,middle,ac,classroom,3,sunny
2023-09-26 13:19:38,2023-09-26 13:19:38,46,middle,ac,classroom,3,sunny
2023-09-26 13:19:58,2023-09-26 13:19:58,31,middle,ac,classroom,3,sunny
2023-09-26 13:20:00,2023-09-26 13:20:00,30,middle,ac,classroom,3,sunny
2023-09-26 13:20:04,2023-09-26 13:20:04,28,middle,ac,classroom,3,sunny
2023-09-26 13:20:13,2023-09-26 13:20:13,25,middle,ac,classroom,3,sunny
2023-09-26 13:20:27,2023-09-26 13:20:27,17,middle,ac,classroom,3,sunny
2023-09-26 13:20:32,2023-09-26 13:20:32,16,middle,ac,classroom,3,sunny
2023-09-26 13:20:38,2023-09-26 13:20:38,13,middle,ac,classroom,3,sunny
2023-09-26 13:20:41,2023-09-26 13:20:41,11,middle,ac,classroom,3,sunny
2023-09-26 13:20:46,2023-09-26 13:20:46,10,middle,ac,classroom,3,sunny
2023-09-26 13:20:55,2023-09-26 13:20:55,8,middle,ac,classroom,3,sunny
2023-09-26 13:21:13,2023-09-26 13:21:13,4,middle,ac,classroom,3,sunny
