Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-08-22 12:11:31,2023-08-22 12:18:11,24,middle,ac,lab,2,overcast
2023-08-22 12:12:14,2023-08-22 12:18:30,29,middle,ac,lab,2,overcast
2023-08-22 12:14:06,2023-08-22 12:18:43,30,middle,ac,lab,2,overcast
2023-08-22 12:16:06,2023-08-22 12:18:56,32,middle,ac,lab,2,overcast
2023-08-22 12:18:30,2023-08-22 12:19:29,31,middle,ac,lab,2,overcast
2023-08-22 12:26:14,2023-08-22 12:26:14,32,backside,ac,lab,2,overcast
2023-08-22 12:28:46,2023-08-22 12:28:46,33,backside,ac,lab,2,overcast
2023-08-22 12:32:59,2023-08-22 12:32:59,31,backside,ac,lab,2,overcast
2023-08-22 12:33:17,2023-08-22 12:33:17,30,backside,ac,lab,2,overcast
2023-08-22 12:33:20,2023-08-22 12:33:20,29,backside,ac,lab,2,overcast
2023-08-22 12:33:24,2023-08-22 12:33:24,30,backside,ac,lab,2,overcast
2023-08-22 12:33:27,2023-08-22 12:33:27,29,backside,ac,lab,2,overcast
2023-08-22 12:33:49,2023-08-22 12:33:49,25,backside,ac,lab,2,overcast
2023-08-22 12:33:55,2023-08-22 12:33:55,23,backside,ac,lab,2,overcast
2023-08-22 12:34:03,2023-08-22 12:34:03,21,backside,ac,lab,2,overcast
2023-08-22 12:34:34,2023-08-22 12:34:34,4,backside,ac,lab,2,overcast
2023-08-22 12:34:42,2023-08-22 12:34:42,3,backside,ac,lab,2,overcast
2023-08-22 12:36:45,2023-08-22 12:36:45,2,backside,ac,lab,2,overcast
2023-08-22 12:42:18,2023-08-22 12:42:18,4,backside,ac,lab,2,overcast
2023-08-22 12:43:57,2023-08-22 12:43:57,2,backside,ac,lab,2,overcast
2023-08-22 12:47:55,2023-08-22 12:47:55,3,backside,ac,lab,2,overcast
2023-08-22 12:56:37,2023-08-22 12:56:37,2,backside,ac,lab,2,overcast
2023-08-22 13:00:05,2023-08-22 13:00:05,3,backside,ac,lab,2,overcast
2023-08-22 13:02:43,2023-08-22 13:02:43,2,backside,ac,lab,2,overcast
2023-08-22 13:03:10,2023-08-22 13:03:10,3,backside,ac,lab,2,overcast
2023-08-22 13:06:00,2023-08-22 13:06:00,2,backside,ac,lab,2,overcast
2023-08-22 13:06:26,2023-08-22 13:06:26,3,backside,ac,lab,2,overcast
