Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-08-21 11:30:45,2023-08-21 11:30:45,33,middle,ac,lab,2,sunny
2023-08-21 11:31:58,2023-08-21 11:32:09,0,middle,ac,lab,2,sunny
2023-08-21 11:31:59,2023-08-21 11:31:59,31,middle,ac,lab,2,sunny
2023-08-21 11:34:00,2023-08-21 11:34:00,29,middle,ac,lab,2,sunny
2023-08-21 11:35:59,2023-08-21 11:36:13,0,middle,ac,lab,2,sunny
2023-08-21 11:36:00,2023-08-21 11:36:00,26,middle,ac,lab,2,sunny
2023-08-21 11:36:08,2023-08-21 11:36:08,24,middle,ac,lab,2,sunny
2023-08-21 11:37:02,2023-08-21 11:37:08,0,middle,ac,lab,2,sunny
2023-08-21 11:37:03,2023-08-21 11:37:03,25,middle,ac,lab,2,sunny
2023-08-21 11:37:39,2023-08-21 11:37:39,24,middle,ac,lab,2,sunny
2023-08-21 11:40:13,2023-08-21 11:40:13,26,middle,ac,lab,2,sunny
2023-08-21 11:43:15,2023-08-21 11:43:15,28,middle,ac,lab,2,sunny
2023-08-21 11:43:16,2023-08-21 11:43:22,0,middle,ac,lab,2,sunny
2023-08-21 11:50:11,2023-08-21 11:50:11,27,middle,ac,lab,2,sunny
2023-08-21 11:50:13,2023-08-21 11:50:18,0,middle,ac,lab,2,sunny
2023-08-21 11:52:28,2023-08-21 11:52:28,28,middle,ac,lab,2,sunny
2023-08-21 11:52:45,2023-08-21 11:52:45,27,middle,ac,lab,2,sunny
2023-08-21 11:52:50,2023-08-21 11:52:55,0,middle,ac,lab,2,sunny
2023-08-21 11:53:09,2023-08-21 11:53:09,28,middle,ac,lab,2,sunny
2023-08-21 11:54:01,2023-08-21 11:54:10,0,middle,ac,lab,2,sunny
2023-08-21 11:54:02,2023-08-21 11:54:02,30,middle,ac,lab,2,sunny
2023-08-21 11:54:34,2023-08-21 11:54:39,32,middle,ac,lab,2,sunny
2023-08-21 11:55:12,2023-08-21 11:55:12,31,middle,ac,lab,2,sunny
2023-08-21 12:02:09,2023-08-21 12:02:09,30,backside,ac,lab,2,sunny
2023-08-21 12:02:10,2023-08-21 12:02:15,0,backside,ac,lab,2,sunny
2023-08-21 12:03:49,2023-08-21 12:03:49,26,backside,ac,lab,2,sunny
2023-08-21 12:03:51,2023-08-21 12:03:55,0,backside,ac,lab,2,sunny
2023-08-21 12:04:36,2023-08-21 12:04:36,27,backside,ac,lab,2,sunny
2023-08-21 12:04:37,2023-08-21 12:04:43,28,backside,ac,lab,2,sunny
2023-08-21 12:04:51,2023-08-21 12:04:51,29,backside,ac,lab,2,sunny
2023-08-21 12:09:22,2023-08-21 12:09:22,31,backside,ac,lab,2,sunny
2023-08-21 12:09:24,2023-08-21 12:09:28,0,backside,ac,lab,2,sunny
2023-08-21 12:10:47,2023-08-21 12:10:47,30,backside,ac,lab,2,sunny
2023-08-21 12:16:06,2023-08-21 12:16:06,29,backside,ac,lab,2,sunny
2023-08-21 12:16:07,2023-08-21 12:16:12,0,backside,ac,lab,2,sunny
2023-08-21 12:17:37,2023-08-21 12:17:37,30,backside,ac,lab,2,sunny
2023-08-21 12:18:52,2023-08-21 12:18:52,28,backside,ac,lab,2,sunny
2023-08-21 12:19:29,2023-08-21 12:19:29,27,backside,ac,lab,2,sunny
2023-08-21 12:23:25,2023-08-21 12:23:25,28,backside,ac,lab,2,sunny
2023-08-21 12:23:26,2023-08-21 12:23:30,0,backside,ac,lab,2,sunny
2023-08-21 12:25:02,2023-08-21 12:25:45,27,backside,ac,lab,2,sunny
2023-08-21 12:25:03,2023-08-21 12:25:54,26,backside,ac,lab,2,sunny
2023-08-21 12:26:35,2023-08-21 12:26:35,24,backside,ac,lab,2,sunny
