Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-27 11:13:44,2023-09-27 11:13:44,20,backside,ac,lab,2,overcast
2023-09-27 11:13:47,2023-09-27 11:13:47,21,backside,ac,lab,2,overcast
2023-09-27 11:15:07,2023-09-27 11:15:07,20,backside,ac,lab,2,overcast
2023-09-27 11:37:02,2023-09-27 11:37:02,19,backside,ac,lab,2,overcast
2023-09-27 11:44:38,2023-09-27 11:44:38,20,backside,ac,lab,2,overcast
2023-09-27 11:45:20,2023-09-27 11:45:20,19,backside,ac,lab,2,overcast
2023-09-27 11:47:03,2023-09-27 11:47:03,20,backside,ac,lab,2,overcast
