Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-08-23 12:08:39,2023-08-23 12:08:39,14,middle,ac,lab,2,rainy
2023-08-23 12:09:10,2023-08-23 12:09:10,12,middle,ac,lab,2,rainy
2023-08-23 12:09:45,2023-08-23 12:09:45,11,middle,ac,lab,2,rainy
2023-08-23 12:10:01,2023-08-23 12:10:01,13,middle,ac,lab,2,rainy
2023-08-23 12:10:01,2023-08-23 12:10:09,0,middle,ac,lab,2,rainy
2023-08-23 12:10:45,2023-08-23 12:10:45,14,middle,ac,lab,2,rainy
2023-08-23 12:11:41,2023-08-23 12:11:41,13,middle,ac,lab,2,rainy
2023-08-23 12:11:56,2023-08-23 12:11:56,11,middle,ac,lab,2,rainy
2023-08-23 12:13:09,2023-08-23 12:13:09,12,middle,ac,lab,2,rainy
2023-08-23 12:14:28,2023-08-23 12:14:28,14,middle,ac,lab,2,rainy
2023-08-23 12:15:00,2023-08-23 12:15:00,15,middle,ac,lab,2,rainy
2023-08-23 12:15:12,2023-08-23 12:15:12,14,middle,ac,lab,2,rainy
2023-08-23 12:16:28,2023-08-23 12:16:28,15,middle,ac,lab,2,rainy
2023-08-23 12:17:18,2023-08-23 12:17:18,14,middle,ac,lab,2,rainy
2023-08-23 12:17:56,2023-08-23 12:17:56,15,middle,ac,lab,2,rainy
2023-08-23 12:19:23,2023-08-23 12:19:23,16,middle,ac,lab,2,rainy
2023-08-23 12:20:33,2023-08-23 12:20:33,15,middle,ac,lab,2,rainy
2023-08-23 12:21:39,2023-08-23 12:21:39,14,middle,ac,lab,2,rainy
2023-08-23 12:22:02,2023-08-23 12:22:02,15,middle,ac,lab,2,rainy
2023-08-23 12:22:26,2023-08-23 12:22:26,14,middle,ac,lab,2,rainy
2023-08-23 12:23:28,2023-08-23 12:23:28,15,middle,ac,lab,2,rainy
2023-08-23 12:24:37,2023-08-23 12:24:37,13,middle,ac,lab,2,rainy
2023-08-23 12:25:03,2023-08-23 12:25:03,14,middle,ac,lab,2,rainy
2023-08-23 12:25:39,2023-08-23 12:25:39,13,middle,ac,lab,2,rainy
2023-08-23 12:25:53,2023-08-23 12:25:53,12,middle,ac,lab,2,rainy
