Timestamp,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-14 12:06:28,$,$,573.0,0.0,10.0,19.0,23.0,32.5,17.2,69.2,10.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:06:33,$,$,571.0,0.0,9.0,18.0,22.0,32.5,17.2,76.8,10.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:06:39,$,$,571.0,0.0,9.0,18.0,21.0,32.5,17.2,70.1,10.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:06:44,$,$,570.0,0.0,9.0,18.0,21.0,32.5,17.2,68.9,12.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:06:50,$,$,570.0,0.0,9.0,18.0,19.0,32.5,17.2,71.2,11.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:06:56,$,$,569.0,0.0,9.0,18.0,19.0,32.5,17.2,67.4,11.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:07:01,$,$,568.0,0.0,7.0,18.0,19.0,32.5,17.2,68.0,11.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:07:07,$,$,568.0,0.0,7.0,18.0,19.0,32.5,17.2,77.5,11.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:07:12,$,$,568.0,0.0,7.0,18.0,19.0,32.5,17.2,68.6,11.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:07:18,$,$,567.0,0.0,7.0,18.0,19.0,32.5,17.2,74.6,11.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:07:24,$,$,567.0,0.0,8.0,19.0,20.0,32.6,17.2,70.1,11.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:07:29,$,$,566.0,0.0,7.0,18.0,19.0,32.5,17.2,69.0,11.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:07:35,$,$,566.0,0.0,9.0,18.0,19.0,32.5,17.2,75.3,11.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:07:40,$,$,565.0,0.0,9.0,17.0,19.0,32.6,17.2,71.7,12.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:07:46,$,$,565.0,0.0,9.0,17.0,19.0,32.5,17.2,69.6,11.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:07:51,$,$,564.0,0.0,9.0,17.0,19.0,32.6,17.2,75.2,11.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:07:57,$,$,564.0,0.0,10.0,17.0,18.0,32.6,17.2,69.9,11.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:08:03,$,$,563.0,0.0,11.0,18.0,19.0,32.5,17.2,68.0,13.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:08:08,$,$,563.0,0.0,11.0,19.0,19.0,32.6,17.2,71.5,14.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:08:14,$,$,564.0,0.0,11.0,19.0,19.0,32.6,17.2,67.5,14.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:08:19,$,$,564.0,0.0,10.0,19.0,19.0,32.6,17.2,66.5,14.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:08:25,$,$,564.0,0.0,9.0,18.0,19.0,32.6,17.2,79.8,14.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:08:30,$,$,563.0,0.0,10.0,19.0,20.0,32.6,17.2,70.6,14.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:08:36,$,$,564.0,0.0,7.0,18.0,19.0,32.6,17.2,67.5,14.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:08:42,$,$,564.0,0.0,8.0,18.0,20.0,32.6,17.2,67.4,14.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:08:47,$,$,564.0,0.0,7.0,18.0,19.0,32.6,17.2,67.4,14.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:08:53,$,$,564.0,0.0,7.0,17.0,19.0,32.6,17.2,75.9,14.0,middle,non ac,classroom,3.0,cloudy
2023-09-14 12:08:58,$,$,563.0,0.0,6.0,16.0,18.0,32.6,17.2,66.8,14.0,middle,non ac,classroom,3.0,cloudy
