Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-11 14:49:29,2023-09-11 14:49:29,7,middle,non ac,classroom,3,sunny
2023-09-11 14:57:31,2023-09-11 14:57:31,6,middle,non ac,classroom,3,sunny
2023-09-11 14:57:59,2023-09-11 14:57:59,7,middle,non ac,classroom,3,sunny
2023-09-11 14:58:45,2023-09-11 14:58:45,4,middle,non ac,classroom,3,sunny
2023-09-11 15:02:36,2023-09-11 15:02:36,5,middle,non ac,classroom,3,sunny
2023-09-11 15:02:49,2023-09-11 15:02:49,4,middle,non ac,classroom,3,sunny
2023-09-11 15:03:02,2023-09-11 15:03:02,7,middle,non ac,classroom,3,sunny
2023-09-11 15:05:12,2023-09-11 15:05:12,6,middle,non ac,classroom,3,sunny
2023-09-11 15:05:44,2023-09-11 15:05:44,7,frontside,non ac,classroom,3,sunny
2023-09-11 15:06:27,2023-09-11 15:06:27,6,frontside,non ac,classroom,3,sunny
2023-09-11 15:06:32,2023-09-11 15:06:32,7,frontside,non ac,classroom,3,sunny
2023-09-11 15:08:38,2023-09-11 15:08:38,6,frontside,non ac,classroom,3,sunny
2023-09-11 15:10:11,2023-09-11 15:10:11,7,frontside,non ac,classroom,3,sunny
2023-09-11 15:11:47,2023-09-11 15:11:47,8,frontside,non ac,classroom,3,sunny
2023-09-11 15:15:48,2023-09-11 15:15:48,7,frontside,non ac,classroom,3,sunny
2023-09-11 15:17:53,2023-09-11 15:17:53,8,frontside,non ac,classroom,3,sunny
