Time Entered,Last Modified,Occupancy,Position,Room Condition,Room Type,Floor No.,Weather
2023-09-22 11:35:27,2023-09-22 11:35:27,59,middle,non ac,classroom,3,cloudy
2023-09-22 11:41:28,2023-09-22 11:41:28,58,middle,non ac,classroom,3,cloudy
2023-09-22 11:43:20,2023-09-22 11:43:20,57,middle,non ac,classroom,3,cloudy
2023-09-22 11:43:59,2023-09-22 11:43:59,56,middle,non ac,classroom,3,cloudy
2023-09-22 11:44:02,2023-09-22 11:44:02,55,middle,non ac,classroom,3,cloudy
2023-09-22 11:44:03,2023-09-22 11:44:03,54,middle,non ac,classroom,3,cloudy
2023-09-22 11:44:13,2023-09-22 11:44:13,50,middle,non ac,classroom,3,cloudy
2023-09-22 11:44:15,2023-09-22 11:44:15,49,middle,non ac,classroom,3,cloudy
2023-09-22 11:44:32,2023-09-22 11:44:32,45,middle,non ac,classroom,3,cloudy
2023-09-22 11:44:39,2023-09-22 11:44:39,46,middle,non ac,classroom,3,cloudy
2023-09-22 11:44:47,2023-09-22 11:44:47,45,middle,non ac,classroom,3,cloudy
2023-09-22 11:45:00,2023-09-22 11:45:00,38,middle,non ac,classroom,3,cloudy
2023-09-22 11:45:06,2023-09-22 11:45:06,36,middle,non ac,classroom,3,cloudy
2023-09-22 11:45:24,2023-09-22 11:45:24,30,middle,non ac,classroom,3,cloudy
2023-09-22 11:45:45,2023-09-22 11:45:45,32,middle,non ac,classroom,3,cloudy
2023-09-22 11:46:28,2023-09-22 11:46:28,33,middle,non ac,classroom,3,cloudy
2023-09-22 11:46:35,2023-09-22 11:46:35,32,middle,non ac,classroom,3,cloudy
2023-09-22 11:46:47,2023-09-22 11:46:47,33,middle,non ac,classroom,3,cloudy
2023-09-22 11:47:12,2023-09-22 11:47:12,34,middle,non ac,classroom,3,cloudy
2023-09-22 11:47:17,2023-09-22 11:47:17,33,middle,non ac,classroom,3,cloudy
2023-09-22 11:47:22,2023-09-22 11:47:22,35,middle,non ac,classroom,3,cloudy
2023-09-22 11:47:30,2023-09-22 11:47:30,34,middle,non ac,classroom,3,cloudy
2023-09-22 11:47:38,2023-09-22 11:51:16,33,middle,non ac,classroom,3,cloudy
2023-09-22 11:47:41,2023-09-22 11:51:06,34,middle,non ac,classroom,3,cloudy
